suicides_no,year,country,sex,age
21,1987,Albania,M,15-24 years
16,1987,Albania,M,35-54 years
14,1987,Albania,F,15-24 years
1,1987,Albania,M,75+ years
9,1987,Albania,M,25-34 years
1,1987,Albania,F,75+ years
6,1987,Albania,F,35-54 years
4,1987,Albania,F,25-34 years
1,1987,Albania,M,55-74 years
2,1988,Albania,F,75+ years
17,1988,Albania,M,15-24 years
1,1988,Albania,M,75+ years
14,1988,Albania,M,35-54 years
4,1988,Albania,M,55-74 years
8,1988,Albania,F,15-24 years
3,1988,Albania,F,55-74 years
5,1988,Albania,F,25-34 years
5,1988,Albania,M,25-34 years
4,1988,Albania,F,35-54 years
2,1989,Albania,M,75+ years
18,1989,Albania,M,25-34 years
15,1989,Albania,M,35-54 years
6,1989,Albania,M,55-74 years
12,1989,Albania,M,15-24 years
7,1989,Albania,F,35-54 years
5,1989,Albania,F,15-24 years
2,1989,Albania,F,25-34 years
1,1989,Albania,F,55-74 years
12,1992,Albania,M,35-54 years
9,1992,Albania,M,15-24 years
5,1992,Albania,M,55-74 years
7,1992,Albania,M,25-34 years
7,1992,Albania,F,15-24 years
4,1992,Albania,F,25-34 years
2,1992,Albania,F,35-54 years
1,1992,Albania,F,55-74 years
18,1993,Albania,M,15-24 years
7,1993,Albania,M,55-74 years
1,1993,Albania,M,75+ years
9,1993,Albania,M,25-34 years
10,1993,Albania,F,15-24 years
10,1993,Albania,M,35-54 years
7,1993,Albania,F,25-34 years
7,1993,Albania,F,35-54 years
2,1993,Albania,F,55-74 years
1,1993,Albania,F,5-14 years
1,1993,Albania,M,5-14 years
2,1994,Albania,M,75+ years
11,1994,Albania,M,55-74 years
2,1994,Albania,F,75+ years
6,1994,Albania,M,25-34 years
9,1994,Albania,M,35-54 years
6,1994,Albania,M,15-24 years
6,1994,Albania,F,15-24 years
4,1994,Albania,F,25-34 years
2,1994,Albania,F,35-54 years
1,1994,Albania,F,55-74 years
1,1994,Albania,M,5-14 years
13,1995,Albania,M,25-34 years
9,1995,Albania,M,55-74 years
2,1995,Albania,F,75+ years
13,1995,Albania,F,15-24 years
11,1995,Albania,M,15-24 years
1,1995,Albania,M,75+ years
14,1995,Albania,M,35-54 years
7,1995,Albania,F,25-34 years
8,1995,Albania,F,35-54 years
6,1995,Albania,M,5-14 years
2,1995,Albania,F,55-74 years
2,1995,Albania,F,5-14 years
2,1996,Albania,M,75+ years
17,1996,Albania,M,15-24 years
14,1996,Albania,M,25-34 years
16,1996,Albania,F,15-24 years
2,1996,Albania,F,75+ years
10,1996,Albania,F,25-34 years
12,1996,Albania,M,35-54 years
9,1996,Albania,F,35-54 years
3,1996,Albania,M,55-74 years
1,1996,Albania,F,55-74 years
2,1996,Albania,M,5-14 years
1,1996,Albania,F,5-14 years
36,1997,Albania,M,25-34 years
33,1997,Albania,M,15-24 years
3,1997,Albania,M,75+ years
30,1997,Albania,M,35-54 years
21,1997,Albania,F,15-24 years
12,1997,Albania,M,55-74 years
16,1997,Albania,F,25-34 years
2,1997,Albania,F,75+ years
7,1997,Albania,F,35-54 years
6,1997,Albania,F,5-14 years
4,1997,Albania,M,5-14 years
3,1998,Albania,M,75+ years
27,1998,Albania,M,15-24 years
32,1998,Albania,F,15-24 years
26,1998,Albania,M,25-34 years
29,1998,Albania,M,35-54 years
9,1998,Albania,M,55-74 years
10,1998,Albania,F,25-34 years
6,1998,Albania,F,55-74 years
9,1998,Albania,F,35-54 years
2,1998,Albania,M,5-14 years
1,1998,Albania,F,5-14 years
3,1999,Albania,M,75+ years
24,1999,Albania,M,15-24 years
4,1999,Albania,F,75+ years
31,1999,Albania,M,35-54 years
19,1999,Albania,M,25-34 years
14,1999,Albania,M,55-74 years
19,1999,Albania,F,15-24 years
13,1999,Albania,F,25-34 years
6,1999,Albania,F,55-74 years
5,1999,Albania,F,35-54 years
1,1999,Albania,F,5-14 years
17,2000,Albania,M,25-34 years
10,2000,Albania,M,55-74 years
2,2000,Albania,F,75+ years
1,2000,Albania,M,75+ years
6,2000,Albania,F,15-24 years
5,2000,Albania,M,15-24 years
5,2000,Albania,F,35-54 years
3,2000,Albania,F,25-34 years
4,2000,Albania,M,35-54 years
1,2000,Albania,M,5-14 years
22,2001,Albania,M,25-34 years
34,2001,Albania,M,35-54 years
11,2001,Albania,M,55-74 years
2,2001,Albania,F,75+ years
10,2001,Albania,M,15-24 years
9,2001,Albania,F,15-24 years
12,2001,Albania,F,35-54 years
1,2001,Albania,M,75+ years
6,2001,Albania,F,55-74 years
6,2001,Albania,M,5-14 years
4,2001,Albania,F,25-34 years
2,2001,Albania,F,5-14 years
4,2002,Albania,M,75+ years
23,2002,Albania,M,25-34 years
35,2002,Albania,M,35-54 years
13,2002,Albania,M,55-74 years
15,2002,Albania,M,15-24 years
14,2002,Albania,F,15-24 years
15,2002,Albania,F,35-54 years
7,2002,Albania,F,25-34 years
1,2002,Albania,F,75+ years
4,2002,Albania,F,55-74 years
1,2002,Albania,F,5-14 years
1,2002,Albania,M,5-14 years
6,2003,Albania,F,75+ years
16,2003,Albania,M,55-74 years
28,2003,Albania,M,35-54 years
15,2003,Albania,M,15-24 years
14,2003,Albania,F,15-24 years
9,2003,Albania,F,55-74 years
9,2003,Albania,M,25-34 years
9,2003,Albania,F,25-34 years
13,2003,Albania,F,35-54 years
1,2003,Albania,M,75+ years
4,2003,Albania,M,5-14 years
4,2004,Albania,M,75+ years
39,2004,Albania,M,35-54 years
16,2004,Albania,M,25-34 years
20,2004,Albania,F,15-24 years
19,2004,Albania,M,15-24 years
3,2004,Albania,F,75+ years
11,2004,Albania,F,25-34 years
10,2004,Albania,M,55-74 years
17,2004,Albania,F,35-54 years
3,2004,Albania,F,55-74 years
3,2004,Albania,F,5-14 years
1,2004,Albania,M,5-14 years
8,2007,Albania,M,75+ years
29,2007,Albania,M,35-54 years
14,2007,Albania,M,55-74 years
3,2007,Albania,F,75+ years
9,2007,Albania,M,25-34 years
13,2007,Albania,F,15-24 years
13,2007,Albania,M,15-24 years
8,2007,Albania,F,25-34 years
9,2007,Albania,F,55-74 years
14,2007,Albania,F,35-54 years
4,2007,Albania,M,5-14 years
21,2008,Albania,M,25-34 years
37,2008,Albania,M,35-54 years
21,2008,Albania,M,55-74 years
5,2008,Albania,F,75+ years
20,2008,Albania,F,15-24 years
9,2008,Albania,F,25-34 years
19,2008,Albania,F,35-54 years
2,2008,Albania,M,75+ years
11,2008,Albania,M,15-24 years
7,2008,Albania,F,55-74 years
7,2008,Albania,M,5-14 years
1,2008,Albania,F,5-14 years
20,2010,Albania,M,55-74 years
20,2010,Albania,M,35-54 years
9,2010,Albania,M,25-34 years
2,2010,Albania,M,75+ years
10,2010,Albania,M,15-24 years
6,2010,Albania,F,25-34 years
2,2010,Albania,F,75+ years
12,2010,Albania,F,35-54 years
7,2010,Albania,F,55-74 years
6,2010,Albania,F,15-24 years
2,2010,Albania,F,5-14 years
1,1990,Antigua and Barbuda,M,35-54 years
1,1993,Antigua and Barbuda,M,25-34 years
1,2000,Antigua and Barbuda,M,55-74 years
1,2000,Antigua and Barbuda,M,35-54 years
2,2001,Antigua and Barbuda,M,35-54 years
1,2003,Antigua and Barbuda,M,55-74 years
1,2004,Antigua and Barbuda,M,55-74 years
1,2004,Antigua and Barbuda,M,35-54 years
1,2007,Antigua and Barbuda,M,35-54 years
1,2015,Antigua and Barbuda,F,55-74 years
202,1985,Argentina,M,75+ years
485,1985,Argentina,M,55-74 years
414,1985,Argentina,M,35-54 years
210,1985,Argentina,F,55-74 years
177,1985,Argentina,M,25-34 years
41,1985,Argentina,F,75+ years
156,1985,Argentina,M,15-24 years
142,1985,Argentina,F,35-54 years
65,1985,Argentina,F,25-34 years
69,1985,Argentina,F,15-24 years
16,1985,Argentina,M,5-14 years
11,1985,Argentina,F,5-14 years
230,1986,Argentina,M,75+ years
530,1986,Argentina,M,55-74 years
478,1986,Argentina,M,35-54 years
209,1986,Argentina,M,25-34 years
48,1986,Argentina,F,75+ years
201,1986,Argentina,F,55-74 years
186,1986,Argentina,M,15-24 years
188,1986,Argentina,F,35-54 years
96,1986,Argentina,F,25-34 years
101,1986,Argentina,F,15-24 years
10,1986,Argentina,M,5-14 years
7,1986,Argentina,F,5-14 years
200,1987,Argentina,M,75+ years
532,1987,Argentina,M,55-74 years
482,1987,Argentina,M,35-54 years
57,1987,Argentina,F,75+ years
224,1987,Argentina,F,55-74 years
192,1987,Argentina,M,25-34 years
179,1987,Argentina,M,15-24 years
209,1987,Argentina,F,35-54 years
89,1987,Argentina,F,25-34 years
93,1987,Argentina,F,15-24 years
15,1987,Argentina,M,5-14 years
14,1987,Argentina,F,5-14 years
216,1988,Argentina,M,75+ years
550,1988,Argentina,M,55-74 years
477,1988,Argentina,M,35-54 years
61,1988,Argentina,F,75+ years
233,1988,Argentina,F,55-74 years
215,1988,Argentina,M,25-34 years
211,1988,Argentina,M,15-24 years
198,1988,Argentina,F,35-54 years
101,1988,Argentina,F,15-24 years
61,1988,Argentina,F,25-34 years
20,1988,Argentina,M,5-14 years
11,1988,Argentina,F,5-14 years
208,1989,Argentina,M,75+ years
548,1989,Argentina,M,55-74 years
462,1989,Argentina,M,35-54 years
65,1989,Argentina,F,75+ years
219,1989,Argentina,M,25-34 years
201,1989,Argentina,F,55-74 years
186,1989,Argentina,M,15-24 years
166,1989,Argentina,F,35-54 years
83,1989,Argentina,F,25-34 years
80,1989,Argentina,F,15-24 years
18,1989,Argentina,M,5-14 years
11,1989,Argentina,F,5-14 years
226,1990,Argentina,M,75+ years
502,1990,Argentina,M,55-74 years
439,1990,Argentina,M,35-54 years
61,1990,Argentina,F,75+ years
182,1990,Argentina,M,25-34 years
190,1990,Argentina,F,55-74 years
174,1990,Argentina,M,15-24 years
163,1990,Argentina,F,35-54 years
91,1990,Argentina,F,15-24 years
76,1990,Argentina,F,25-34 years
22,1990,Argentina,M,5-14 years
14,1990,Argentina,F,5-14 years
184,1991,Argentina,M,75+ years
449,1991,Argentina,M,55-74 years
398,1991,Argentina,M,35-54 years
214,1991,Argentina,M,25-34 years
50,1991,Argentina,F,75+ years
169,1991,Argentina,F,55-74 years
179,1991,Argentina,M,15-24 years
133,1991,Argentina,F,35-54 years
77,1991,Argentina,F,25-34 years
61,1991,Argentina,F,15-24 years
