year,suicides_no,country,HDI_for_year
1995,13,Albania,0.619
1995,9,Albania,0.619
1995,2,Albania,0.619
1995,13,Albania,0.619
1995,11,Albania,0.619
1995,1,Albania,0.619
1995,14,Albania,0.619
1995,7,Albania,0.619
1995,8,Albania,0.619
1995,6,Albania,0.619
1995,2,Albania,0.619
1995,2,Albania,0.619
2000,17,Albania,0.656
2000,10,Albania,0.656
2000,2,Albania,0.656
2000,1,Albania,0.656
2000,6,Albania,0.656
2000,5,Albania,0.656
2000,5,Albania,0.656
2000,3,Albania,0.656
2000,4,Albania,0.656
2000,1,Albania,0.656
2010,20,Albania,0.722
2010,20,Albania,0.722
2010,9,Albania,0.722
2010,2,Albania,0.722
2010,10,Albania,0.722
2010,6,Albania,0.722
2010,2,Albania,0.722
2010,12,Albania,0.722
2010,7,Albania,0.722
2010,6,Albania,0.722
2010,2,Albania,0.722
1985,202,Argentina,0.694
1985,485,Argentina,0.694
1985,414,Argentina,0.694
1985,210,Argentina,0.694
1985,177,Argentina,0.694
1985,41,Argentina,0.694
1985,156,Argentina,0.694
1985,142,Argentina,0.694
1985,65,Argentina,0.694
1985,69,Argentina,0.694
1985,16,Argentina,0.694
1985,11,Argentina,0.694
1990,226,Argentina,0.705
1990,502,Argentina,0.705
1990,439,Argentina,0.705
1990,61,Argentina,0.705
1990,182,Argentina,0.705
1990,190,Argentina,0.705
1990,174,Argentina,0.705
1990,163,Argentina,0.705
1990,91,Argentina,0.705
1990,76,Argentina,0.705
1990,22,Argentina,0.705
1990,14,Argentina,0.705
1995,190,Argentina,0.731
1995,515,Argentina,0.731
1995,485,Argentina,0.731
1995,218,Argentina,0.731
1995,277,Argentina,0.731
1995,49,Argentina,0.731
1995,134,Argentina,0.731
1995,139,Argentina,0.731
1995,101,Argentina,0.731
1995,62,Argentina,0.731
1995,19,Argentina,0.731
1995,15,Argentina,0.731
2000,232,Argentina,0.762
2000,602,Argentina,0.762
2000,578,Argentina,0.762
2000,463,Argentina,0.762
2000,331,Argentina,0.762
2000,133,Argentina,0.762
2000,43,Argentina,0.762
2000,174,Argentina,0.762
2000,116,Argentina,0.762
2000,63,Argentina,0.762
2000,21,Argentina,0.762
2000,18,Argentina,0.762
2005,225,Argentina,0.775
2005,489,Argentina,0.775
2005,638,Argentina,0.775
2005,451,Argentina,0.775
2005,539,Argentina,0.775
2005,161,Argentina,0.775
2005,59,Argentina,0.775
2005,148,Argentina,0.775
2005,171,Argentina,0.775
2005,104,Argentina,0.775
2005,52,Argentina,0.775
2005,21,Argentina,0.775
2010,206,Argentina,0.811
2010,683,Argentina,0.811
2010,485,Argentina,0.811
2010,397,Argentina,0.811
2010,573,Argentina,0.811
2010,150,Argentina,0.811
2010,162,Argentina,0.811
2010,101,Argentina,0.811
2010,99,Argentina,0.811
2010,34,Argentina,0.811
2010,33,Argentina,0.811
2010,20,Argentina,0.811
2011,178,Argentina,0.818
2011,693,Argentina,0.818
2011,510,Argentina,0.818
2011,416,Argentina,0.818
2011,504,Argentina,0.818
2011,172,Argentina,0.818
2011,157,Argentina,0.818
2011,102,Argentina,0.818
2011,93,Argentina,0.818
2011,30,Argentina,0.818
2011,29,Argentina,0.818
2011,28,Argentina,0.818
2012,225,Argentina,0.831
2012,745,Argentina,0.831
2012,616,Argentina,0.831
2012,451,Argentina,0.831
2012,554,Argentina,0.831
2012,204,Argentina,0.831
2012,164,Argentina,0.831
2012,108,Argentina,0.831
2012,102,Argentina,0.831
2012,33,Argentina,0.831
2012,29,Argentina,0.831
2012,17,Argentina,0.831
2013,168,Argentina,0.833
2013,696,Argentina,0.833
2013,499,Argentina,0.833
2013,398,Argentina,0.833
2013,604,Argentina,0.833
2013,167,Argentina,0.833
2013,102,Argentina,0.833
2013,157,Argentina,0.833
2013,102,Argentina,0.833
2013,29,Argentina,0.833
2013,32,Argentina,0.833
2013,33,Argentina,0.833
2014,192,Argentina,0.836
2014,738,Argentina,0.836
2014,531,Argentina,0.836
2014,405,Argentina,0.836
2014,644,Argentina,0.836
2014,204,Argentina,0.836
2014,196,Argentina,0.836
2014,118,Argentina,0.836
2014,109,Argentina,0.836
2014,25,Argentina,0.836
2014,35,Argentina,0.836
2014,34,Argentina,0.836
1990,25,Armenia,0.632
1990,2,Armenia,0.632
1990,11,Armenia,0.632
1990,16,Armenia,0.632
1990,15,Armenia,0.632
1990,10,Armenia,0.632
1990,6,Armenia,0.632
1990,1,Armenia,0.632
1990,4,Armenia,0.632
1990,3,Armenia,0.632
1995,29,Armenia,0.605
1995,32,Armenia,0.605
1995,21,Armenia,0.605
1995,2,Armenia,0.605
1995,2,Armenia,0.605
1995,11,Armenia,0.605
1995,11,Armenia,0.605
1995,10,Armenia,0.605
1995,8,Armenia,0.605
1995,3,Armenia,0.605
1995,1,Armenia,0.605
2000,4,Armenia,0.648
2000,5,Armenia,0.648
2000,14,Armenia,0.648
2000,18,Armenia,0.648
2000,5,Armenia,0.648
2000,6,Armenia,0.648
2000,4,Armenia,0.648
2000,4,Armenia,0.648
2000,1,Armenia,0.648
2010,6,Armenia,0.721
2010,13,Armenia,0.721
2010,10,Armenia,0.721
2010,15,Armenia,0.721
2010,8,Armenia,0.721
2010,7,Armenia,0.721
2010,2,Armenia,0.721
2010,2,Armenia,0.721
2010,5,Armenia,0.721
2010,2,Armenia,0.721
2010,2,Armenia,0.721
2010,1,Armenia,0.721
2011,6,Armenia,0.723
2011,23,Armenia,0.723
2011,11,Armenia,0.723
2011,8,Armenia,0.723
2011,2,Armenia,0.723
2011,7,Armenia,0.723
2011,4,Armenia,0.723
2011,3,Armenia,0.723
2011,3,Armenia,0.723
2012,5,Armenia,0.728
2012,26,Armenia,0.728
2012,11,Armenia,0.728
2012,11,Armenia,0.728
2012,3,Armenia,0.728
2012,5,Armenia,0.728
2012,7,Armenia,0.728
2012,4,Armenia,0.728
2012,4,Armenia,0.728
2012,2,Armenia,0.728
2012,1,Armenia,0.728
2013,7,Armenia,0.731
2013,6,Armenia,0.731
2013,11,Armenia,0.731
2013,11,Armenia,0.731
2013,9,Armenia,0.731
2013,13,Armenia,0.731
2013,6,Armenia,0.731
2013,2,Armenia,0.731
2013,1,Armenia,0.731
2013,1,Armenia,0.731
2014,9,Armenia,0.733
2014,6,Armenia,0.733
2014,12,Armenia,0.733
2014,13,Armenia,0.733
2014,6,Armenia,0.733
2014,4,Armenia,0.733
2014,3,Armenia,0.733
2014,2,Armenia,0.733
2014,1,Armenia,0.733
2014,2,Armenia,0.733
1990,87,Australia,0.865
1990,418,Australia,0.865
1990,374,Australia,0.865
1990,325,Australia,0.865
1990,549,Australia,0.865
1990,37,Australia,0.865
1990,109,Australia,0.865
1990,98,Australia,0.865
1990,136,Australia,0.865
1990,64,Australia,0.865
1990,5,Australia,0.865
1995,440,Australia,0.882
1995,88,Australia,0.882
1995,587,Australia,0.882
1995,318,Australia,0.882
1995,274,Australia,0.882
1995,180,Australia,0.882
1995,91,Australia,0.882
1995,81,Australia,0.882
1995,79,Australia,0.882
1995,28,Australia,0.882
1995,4,Australia,0.882
2000,466,Australia,0.898
2000,115,Australia,0.898
2000,745,Australia,0.898
2000,271,Australia,0.898
2000,281,Australia,0.898
2000,106,Australia,0.898
2000,200,Australia,0.898
2000,78,Australia,0.898
2000,87,Australia,0.898
2000,33,Australia,0.898
2000,8,Australia,0.898
2000,1,Australia,0.898
2010,816,Australia,0.927
2010,151,Australia,0.927
2010,311,Australia,0.927
2010,360,Australia,0.927
2010,222,Australia,0.927
2010,228,Australia,0.927
2010,94,Australia,0.927
2010,43,Australia,0.927
2010,80,Australia,0.927
2010,104,Australia,0.927
2010,7,Australia,0.927
2010,4,Australia,0.927
2011,146,Australia,0.93
2011,704,Australia,0.93
2011,347,Australia,0.93
2011,366,Australia,0.93
2011,242,Australia,0.93
2011,230,Australia,0.93
2011,93,Australia,0.93
2011,118,Australia,0.93
2011,45,Australia,0.93
2011,85,Australia,0.93
2011,9,Australia,0.93
2011,7,Australia,0.93
2012,158,Australia,0.932
2012,802,Australia,0.932
2012,351,Australia,0.932
2012,396,Australia,0.932
2012,217,Australia,0.932
2012,258,Australia,0.932
2012,109,Australia,0.932
2012,52,Australia,0.932
2012,98,Australia,0.932
2012,123,Australia,0.932
2012,10,Australia,0.932
2012,6,Australia,0.932
2013,160,Australia,0.933
2013,754,Australia,0.933
2013,329,Australia,0.933
2013,418,Australia,0.933
2013,267,Australia,0.933
2013,275,Australia,0.933
2013,145,Australia,0.933
2013,95,Australia,0.933
2013,95,Australia,0.933
2013,48,Australia,0.933
2013,16,Australia,0.933
2013,6,Australia,0.933
2014,866,Australia,0.935
2014,164,Australia,0.935
2014,404,Australia,0.935
2014,471,Australia,0.935
2014,271,Australia,0.935
2014,277,Australia,0.935
2014,119,Australia,0.935
2014,157,Australia,0.935
2014,96,Australia,0.935
2014,45,Australia,0.935
2014,15,Australia,0.935
2014,6,Australia,0.935
1985,152,Austria,0.764
1985,355,Austria,0.764
1985,515,Austria,0.764
1985,232,Austria,0.764
1985,110,Austria,0.764
1985,207,Austria,0.764
1985,220,Austria,0.764
1985,186,Austria,0.764
1985,56,Austria,0.764
1985,50,Austria,0.764
1985,6,Austria,0.764
1985,2,Austria,0.764
1990,186,Austria,0.794
1990,320,Austria,0.794
1990,418,Austria,0.794
1990,132,Austria,0.794
1990,209,Austria,0.794
1990,150,Austria,0.794
1990,173,Austria,0.794
1990,150,Austria,0.794
1990,53,Austria,0.794
1990,31,Austria,0.794
1990,2,Austria,0.794
1990,1,Austria,0.794
1995,184,Austria,0.815
1995,333,Austria,0.815
1995,437,Austria,0.815
1995,237,Austria,0.815
1995,100,Austria,0.815
1995,134,Austria,0.815
1995,141,Austria,0.815
1995,136,Austria,0.815
1995,59,Austria,0.815
1995,19,Austria,0.815
1995,8,Austria,0.815
