suicides_no,year,country,sex,population,suicides/100k pop
21,1987,Albania,M,312900,6.71
16,1987,Albania,M,308000,5.19
14,1987,Albania,F,289700,4.83
1,1987,Albania,M,21800,4.59
9,1987,Albania,M,274300,3.28
1,1987,Albania,F,35600,2.81
6,1987,Albania,F,278800,2.15
4,1987,Albania,F,257200,1.56
1,1987,Albania,M,137500,0.73
2,1988,Albania,F,36400,5.49
17,1988,Albania,M,319200,5.33
1,1988,Albania,M,22300,4.48
14,1988,Albania,M,314100,4.46
4,1988,Albania,M,140200,2.85
8,1988,Albania,F,295600,2.71
3,1988,Albania,F,147500,2.03
5,1988,Albania,F,262400,1.91
5,1988,Albania,M,279900,1.79
4,1988,Albania,F,284500,1.41
2,1989,Albania,M,22500,8.89
18,1989,Albania,M,283600,6.35
15,1989,Albania,M,318400,4.71
6,1989,Albania,M,142100,4.22
12,1989,Albania,M,323500,3.71
7,1989,Albania,F,288600,2.43
5,1989,Albania,F,299900,1.67
2,1989,Albania,F,266300,0.75
1,1989,Albania,F,149600,0.67
12,1992,Albania,M,343800,3.49
9,1992,Albania,M,263700,3.41
5,1992,Albania,M,159500,3.13
7,1992,Albania,M,245500,2.85
7,1992,Albania,F,292400,2.39
4,1992,Albania,F,267400,1.5
2,1992,Albania,F,323100,0.62
1,1992,Albania,F,164900,0.61
18,1993,Albania,M,243300,7.4
7,1993,Albania,M,165000,4.24
1,1993,Albania,M,24200,4.13
9,1993,Albania,M,230100,3.91
10,1993,Albania,F,285300,3.51
10,1993,Albania,M,350300,2.85
7,1993,Albania,F,261800,2.67
7,1993,Albania,F,331200,2.11
2,1993,Albania,F,169500,1.18
1,1993,Albania,F,340300,0.29
1,1993,Albania,M,367000,0.27
2,1994,Albania,M,24600,8.13
11,1994,Albania,M,171400,6.42
2,1994,Albania,F,39900,5.01
6,1994,Albania,M,231400,2.59
9,1994,Albania,M,362800,2.48
6,1994,Albania,M,242200,2.48
6,1994,Albania,F,282600,2.12
4,1994,Albania,F,261100,1.53
2,1994,Albania,F,342500,0.58
1,1994,Albania,F,174600,0.57
1,1994,Albania,M,371800,0.27
13,1995,Albania,M,232900,5.58
9,1995,Albania,M,178000,5.06
2,1995,Albania,F,40800,4.9
13,1995,Albania,F,283500,4.59
11,1995,Albania,M,241200,4.56
1,1995,Albania,M,25100,3.98
14,1995,Albania,M,375900,3.72
7,1995,Albania,F,264000,2.65
8,1995,Albania,F,356400,2.24
6,1995,Albania,M,376500,1.59
2,1995,Albania,F,180400,1.11
2,1995,Albania,F,348700,0.57
2,1996,Albania,M,25400,7.87
17,1996,Albania,M,243600,6.98
14,1996,Albania,M,235300,5.95
16,1996,Albania,F,287700,5.56
2,1996,Albania,F,41200,4.85
10,1996,Albania,F,267900,3.73
12,1996,Albania,M,379600,3.16
9,1996,Albania,F,362000,2.49
3,1996,Albania,M,179900,1.67
1,1996,Albania,F,183100,0.55
2,1996,Albania,M,380400,0.53
1,1996,Albania,F,354100,0.28
36,1997,Albania,M,236000,15.25
33,1997,Albania,M,244400,13.5
3,1997,Albania,M,25400,11.81
30,1997,Albania,M,380800,7.88
21,1997,Albania,F,294000,7.14
12,1997,Albania,M,180300,6.66
16,1997,Albania,F,273900,5.84
2,1997,Albania,F,42100,4.75
7,1997,Albania,F,370100,1.89
6,1997,Albania,F,361800,1.66
4,1997,Albania,M,381500,1.05
3,1998,Albania,M,25800,11.63
27,1998,Albania,M,248800,10.85
32,1998,Albania,F,295600,10.83
26,1998,Albania,M,240400,10.82
29,1998,Albania,M,388200,7.47
9,1998,Albania,M,183800,4.9
10,1998,Albania,F,275300,3.63
6,1998,Albania,F,188200,3.19
9,1998,Albania,F,372100,2.42
2,1998,Albania,M,388400,0.51
1,1998,Albania,F,363800,0.27
3,1999,Albania,M,25900,11.58
24,1999,Albania,M,250600,9.58
4,1999,Albania,F,42400,9.43
31,1999,Albania,M,391100,7.93
19,1999,Albania,M,242300,7.84
14,1999,Albania,M,185200,7.56
19,1999,Albania,F,296800,6.4
13,1999,Albania,F,276500,4.7
