suicides_no,year,country,sex,gdp_for_year,gdp_per_capita
21,1987,Albania,M,"2,156,624,900",796
16,1987,Albania,M,"2,156,624,900",796
14,1987,Albania,F,"2,156,624,900",796
1,1987,Albania,M,"2,156,624,900",796
9,1987,Albania,M,"2,156,624,900",796
1,1987,Albania,F,"2,156,624,900",796
6,1987,Albania,F,"2,156,624,900",796
4,1987,Albania,F,"2,156,624,900",796
1,1987,Albania,M,"2,156,624,900",796
2,1988,Albania,F,"2,126,000,000",769
17,1988,Albania,M,"2,126,000,000",769
1,1988,Albania,M,"2,126,000,000",769
14,1988,Albania,M,"2,126,000,000",769
4,1988,Albania,M,"2,126,000,000",769
8,1988,Albania,F,"2,126,000,000",769
3,1988,Albania,F,"2,126,000,000",769
5,1988,Albania,F,"2,126,000,000",769
5,1988,Albania,M,"2,126,000,000",769
4,1988,Albania,F,"2,126,000,000",769
2,1989,Albania,M,"2,335,124,988",833
18,1989,Albania,M,"2,335,124,988",833
15,1989,Albania,M,"2,335,124,988",833
6,1989,Albania,M,"2,335,124,988",833
12,1989,Albania,M,"2,335,124,988",833
7,1989,Albania,F,"2,335,124,988",833
5,1989,Albania,F,"2,335,124,988",833
2,1989,Albania,F,"2,335,124,988",833
1,1989,Albania,F,"2,335,124,988",833
12,1992,Albania,M,"709,452,584",251
9,1992,Albania,M,"709,452,584",251
5,1992,Albania,M,"709,452,584",251
7,1992,Albania,M,"709,452,584",251
7,1992,Albania,F,"709,452,584",251
4,1992,Albania,F,"709,452,584",251
2,1992,Albania,F,"709,452,584",251
1,1992,Albania,F,"709,452,584",251
18,1993,Albania,M,"1,228,071,038",437
7,1993,Albania,M,"1,228,071,038",437
1,1993,Albania,M,"1,228,071,038",437
9,1993,Albania,M,"1,228,071,038",437
10,1993,Albania,F,"1,228,071,038",437
10,1993,Albania,M,"1,228,071,038",437
7,1993,Albania,F,"1,228,071,038",437
7,1993,Albania,F,"1,228,071,038",437
2,1993,Albania,F,"1,228,071,038",437
1,1993,Albania,F,"1,228,071,038",437
1,1993,Albania,M,"1,228,071,038",437
2,1994,Albania,M,"1,985,673,798",697
11,1994,Albania,M,"1,985,673,798",697
2,1994,Albania,F,"1,985,673,798",697
6,1994,Albania,M,"1,985,673,798",697
9,1994,Albania,M,"1,985,673,798",697
6,1994,Albania,M,"1,985,673,798",697
6,1994,Albania,F,"1,985,673,798",697
4,1994,Albania,F,"1,985,673,798",697
2,1994,Albania,F,"1,985,673,798",697
1,1994,Albania,F,"1,985,673,798",697
1,1994,Albania,M,"1,985,673,798",697
13,1995,Albania,M,"2,424,499,009",835
9,1995,Albania,M,"2,424,499,009",835
2,1995,Albania,F,"2,424,499,009",835
13,1995,Albania,F,"2,424,499,009",835
11,1995,Albania,M,"2,424,499,009",835
1,1995,Albania,M,"2,424,499,009",835
14,1995,Albania,M,"2,424,499,009",835
7,1995,Albania,F,"2,424,499,009",835
8,1995,Albania,F,"2,424,499,009",835
6,1995,Albania,M,"2,424,499,009",835
2,1995,Albania,F,"2,424,499,009",835
2,1995,Albania,F,"2,424,499,009",835
2,1996,Albania,M,"3,314,898,292",1127
17,1996,Albania,M,"3,314,898,292",1127
14,1996,Albania,M,"3,314,898,292",1127
16,1996,Albania,F,"3,314,898,292",1127
2,1996,Albania,F,"3,314,898,292",1127
10,1996,Albania,F,"3,314,898,292",1127
12,1996,Albania,M,"3,314,898,292",1127
9,1996,Albania,F,"3,314,898,292",1127
3,1996,Albania,M,"3,314,898,292",1127
1,1996,Albania,F,"3,314,898,292",1127
2,1996,Albania,M,"3,314,898,292",1127
1,1996,Albania,F,"3,314,898,292",1127
36,1997,Albania,M,"2,359,903,108",793
33,1997,Albania,M,"2,359,903,108",793
3,1997,Albania,M,"2,359,903,108",793
30,1997,Albania,M,"2,359,903,108",793
21,1997,Albania,F,"2,359,903,108",793
12,1997,Albania,M,"2,359,903,108",793
16,1997,Albania,F,"2,359,903,108",793
2,1997,Albania,F,"2,359,903,108",793
7,1997,Albania,F,"2,359,903,108",793
6,1997,Albania,F,"2,359,903,108",793
4,1997,Albania,M,"2,359,903,108",793
3,1998,Albania,M,"2,707,123,772",899
